mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,kernel,param_gamma,param_degree
6.733058309555053,0.1837602200299312,1.1587719917297363,0.02185542810615035,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",-0.16022641328146237,-0.16008554406284234,-0.16226829914731491,-0.1586463057698387,-0.15922674579179988,-0.16009066161065164,0.0012323209227681823,1,linear,,
8.787480640411378,0.2069973145946542,1.1594903945922852,0.0688922666345931,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",-0.16022550518782566,-0.16008655717184536,-0.16227072537300372,-0.1586406927351204,-0.15923664894071593,-0.16009202588170218,0.0012330949451592294,3,linear,,
22.324186086654663,0.34066344827317874,1.1309266090393066,0.07126027696186589,1,linear,"{'C': 1, 'kernel': 'linear'}",-0.16022606185525096,-0.1600884689451063,-0.16227454502309321,-0.15864442024879732,-0.1592299874554803,-0.16009269670554563,0.0012345070403378974,4,linear,,
144.8686454296112,2.1114293888129483,1.3585460662841797,0.3120278046433687,10,linear,"{'C': 10, 'kernel': 'linear'}",-0.16022745303715086,-0.16008299617330018,-0.1622715280260531,-0.15864599359825945,-0.15923197627635338,-0.16009198942222339,0.0012328297797400702,2,linear,,
778.8215261936188,37.64110204314891,0.5152664184570312,0.05827102516946025,100,linear,"{'C': 100, 'kernel': 'linear'}",-0.1602342306744196,-0.16009819377906906,-0.1622618844956206,-0.15864814845153216,-0.1592348171003828,-0.16009545490020485,0.0012286640539799056,5,linear,,
9.156474018096924,0.039718303819121496,4.0665364265441895,0.023854023595676163,0.01,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.15996500219586224,-0.16004814117432214,-0.1616765514810344,-0.1585212928721168,-0.15899157542740794,-0.1598405126301487,0.0010854198331031073,1,rbf_sigmoid,0.1,
14.517853784561158,0.32584257016445384,2.2046987056732177,0.2038871090908954,0.01,sigmoid,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",-0.32525183633400895,-0.315942146472723,-0.32782780174347925,-0.32019415770584864,-0.3305684339664509,-0.3239568752445022,0.005268161453077757,13,rbf_sigmoid,0.1,
8.485617542266846,0.13502356155554018,4.7814140796661375,0.11772842468129455,0.01,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",-0.16063769335825373,-0.16082326936813335,-0.1624770048029484,-0.15921582623582936,-0.15911635261812043,-0.16045402927665703,0.001231667677022062,2,rbf_sigmoid,1,
18.01006922721863,1.8182709702930444,3.3933631420135497,0.02868967382597804,0.01,sigmoid,"{'C': 0.01, 'gamma': 1, 'kernel': 'sigmoid'}",-5.573614462305209,-5.548765448546256,-5.533026090106118,-5.464875499900598,-5.469508549426103,-5.517958010056857,0.04344856522239232,14,rbf_sigmoid,1,
10.136748456954956,0.5603073073400481,5.932174110412598,1.7781825434959435,0.01,rbf,"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",-0.16106525542490518,-0.16051522369590657,-0.16347248091271768,-0.15972205632327782,-0.15983051669455595,-0.16092110661027265,0.001365440486225342,3,rbf_sigmoid,10,
21.901794624328613,0.18134185557579854,3.508114385604858,0.1509218569331788,0.01,sigmoid,"{'C': 0.01, 'gamma': 10, 'kernel': 'sigmoid'}",-7.089634352278615,-6.974687178623298,-7.118817256908996,-6.876032865336158,-7.033312223927449,-7.018496775414903,0.08667121530224786,15,rbf_sigmoid,10,
9.322155952453613,1.5355041364197342,4.719258975982666,0.154721558604368,0.01,rbf,"{'C': 0.01, 'gamma': 100, 'kernel': 'rbf'}",-0.16108278405761275,-0.16053610453275308,-0.1634959262749048,-0.1597237343582405,-0.15984684613878195,-0.16093707907245863,0.0013704395480904526,4,rbf_sigmoid,100,
12.576692390441895,0.5220843757501507,2.0317270278930666,0.106688847208478,0.01,sigmoid,"{'C': 0.01, 'gamma': 100, 'kernel': 'sigmoid'}",-6.978780097360004,-7.022395874147769,-7.0263703735425675,-7.135903339678694,-7.035606542737544,-7.039811245493316,0.05188472478594433,16,rbf_sigmoid,100,
9.832589721679687,0.4104160310966167,4.080209875106812,0.08405975638131909,1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.16167042715908378,-0.1617576781468445,-0.1627999512792063,-0.15980515366877532,-0.16037980663546414,-0.1612826033778748,0.001065490269883623,5,rbf_sigmoid,0.1,
16.819149780273438,1.7581086565244772,2.46870493888855,0.023654436185586526,1,sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-30.057325460238975,-29.42968493953422,-30.93319254720693,-30.146985189392037,-31.78672939888716,-30.470783507051863,0.8130454901094131,17,rbf_sigmoid,0.1,
23.32797474861145,0.3085803503474423,4.4820558547973635,0.3075137877449455,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",-0.17500144072905016,-0.17608648147930026,-0.17639003164638986,-0.17407246707724125,-0.17192564786603245,-0.17469521375960279,0.0016099762211463158,11,rbf_sigmoid,1,
17.925444221496583,2.0615765543794358,3.227133369445801,0.09392379002224227,1,sigmoid,"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",-523.7576063388897,-556.0488163206983,-552.1976909491857,-554.7194221886978,-538.594063962278,-545.06351995195,12.333737436982801,18,rbf_sigmoid,1,
